name,code,category,brand,model,serial,condition,quantity,ownership,location,warehouse,qr,description,notes,purchasePrice,replacementValue,currentBookValue
Tableta Apple iPad 8th Generation Wi-Fi,R-703-5,HD,,,GG7DR8CEQ1GF,Good,6,owned,,,1000512,Tableta Apple iPad 8th Generation Wi-Fi,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 703; Carpeta Rentman: Hardware/Tabletas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: +Cargador +Protector Case + Straps 32GB Model A2270,,,
Tableta Apple iPad 8th Generation Wi-Fi,R-703-6,HD,,,GG7DR6QQQ1GF,Good,6,owned,,,1000512,Tableta Apple iPad 8th Generation Wi-Fi,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 703; Carpeta Rentman: Hardware/Tabletas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: +Cargador +Protector Case + Straps 32GB Model A2270,,,
"Computadora Apple Macbook Pro 2014 15"" (B)",R-709,HD,,,,Good,1,owned,,,1000524,"Computadora Apple Macbook Pro 2014 15"" (B)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 709; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.5 GHz Intel Core i7 Memory : 16GB 1600 MHz DDR3 Graphics : NVIDIA GeForce GT 750M 2048 MB Intel Iris Pro 1536 MB macOS High Sierra,,,
Mesa Plegable Keter,R-710,ACC,,,,Good,4,owned,,,1000525,Mesa Plegable Keter,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 710; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Computadora Apple Macbook Pro 2013 15"" (A)",R-711,HD,,,C02MM2T4FD59,Good,1,owned,,,1000526,"Computadora Apple Macbook Pro 2013 15"" (A)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 711; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.6 GHz Quad-Core Intel Core I7 Memory : 16GB 1600 MHz DDR3 Graphics : NVIDIA GeForce GT 750M 2GB macOS BigSur,,,
"Computadora Apple iMac (C) 27"" 2017",R-713,HD,,,C02W40KCJ1GQ,Good,1,owned,,,1000529,"Computadora Apple iMac (C) 27"" 2017",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 713; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 4.2 GHz Quad-Core Intel Core i7 Memory : 32 GB 2400 MHz DDR4 Graphics : Radeon Pro 580 8GB macOS Catalina,,,
"Computadora Apple iMac (B) 27"" 2015",R-715,HD,,,C02QG63GGG7J,Good,1,owned,,,1000533,"Computadora Apple iMac (B) 27"" 2015",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 715; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 3.2 GHz Intel Core i5 Memory : 32 GB 1867 MHz DDR3 Graphics : AMD Radeon R9 M3380 2GB macOS Mojave,,,
Enclosure LACIE 2Bay Thunderbolt 2,R-716,ACC,,,NL601BQC,Good,1,owned,,STORAGE 01,1000537,Enclosure LACIE 2Bay Thunderbolt 2,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 716; Carpeta Rentman: Archiving/Enclosure; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Disco Duro LACIE Rugged 1TB Thunderbolt 3,R-717,HD,,,,Good,1,owned,,,1000539,Disco Duro LACIE Rugged 1TB Thunderbolt 3,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 717; Carpeta Rentman: Archiving/Hardrives; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Case Mini VKO Exposed Media,R-718,CAS,,,,Good,3,owned,,,1000540,Case Mini VKO Exposed Media,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 718; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Case Pelican 1510 (Black),R-719,CAS,,,,Good,2,owned,,,1000541,Case Pelican 1510 (Black),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 719; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Tripode C-Stand Kupo Master 20"" Riser w/ Sliding Leg (Black, 6.5')",R-721,RIG,,,,Good,6,owned,,,1000544,"Tripode C-Stand Kupo Master 20"" Riser w/ Sliding Leg (Black, 6.5')",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 721; Carpeta Rentman: Gripería/Tripodes; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mouse Deathadder,R-722,HD,,,,Good,1,owned,,,1000545,Mouse Deathadder,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 722; Carpeta Rentman: Hardware/Mouses; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Drive LTO 8 HP Ultrium 30750,R-723,ACC,,,HUJ116DUTP,Good,1,owned,,,1000546,Tape Drive LTO 8 HP Ultrium 30750,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 723; Carpeta Rentman: Archiving/LTO; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Case Pelican 1300 (Grey),R-726,CAS,,,,Good,2,owned,,,1000550,Case Pelican 1300 (Grey),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 726; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Computadora Apple MacPro 2013,R-728,HD,,,F5KQ90BGF694,Good,4,owned,,,1000555,Computadora Apple MacPro 2013,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 728; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.7 GHz 12-Core Intel Xeon E5 Memory : 64GB 1866 MHz DDR3 Graphics : AMD FirePro D700 6GB macOS Mojave,,,
Computadora Apple MacPro 2013,R-728-2,HD,,,F5KMG0ATF694,Good,4,owned,,,1000555,Computadora Apple MacPro 2013,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 728; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.7 GHz 12-Core Intel Xeon E5 Memory : 64GB 1866 MHz DDR3 Graphics : AMD FirePro D700 6GB macOS Mojave,,,
Computadora Apple MacPro 2013,R-728-3,HD,,,F5KN90KKF9VN,Good,4,owned,,,1000555,Computadora Apple MacPro 2013,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 728; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.7 GHz 12-Core Intel Xeon E5 Memory : 64GB 1866 MHz DDR3 Graphics : AMD FirePro D700 6GB macOS Mojave,,,
Computadora Apple MacPro 2013,R-728-4,HD,,,F5KQ40GGF694,Good,4,owned,,,1000555,Computadora Apple MacPro 2013,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 728; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.7 GHz 12-Core Intel Xeon E5 Memory : 64GB 1866 MHz DDR3 Graphics : AMD FirePro D700 6GB macOS Mojave,,,
Cable Network E-Sata,R-734,NEC,,,,Good,1,owned,,07 E,1000563,Cable Network E-Sata,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 734; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Power AC Sonnet Qi0 AC,R-736,POW,,,,Good,1,owned,,,1000565,Power AC Sonnet Qi0 AC,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 736; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Pro FX 120 Audio Channel Mixer,R-737,SOUND,,,,Good,1,owned,,,1000566,Pro FX 120 Audio Channel Mixer,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 737; Carpeta Rentman: Consola/Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Calibrador Display Nec,R-738,ACC,,,,Good,1,owned,,,1000567,Calibrador Display Nec,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 738; Carpeta Rentman: Accesorios/Accesorios Color; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mouse Wireless Apple,R-739,HD,,,,Good,2,owned,,,1000568,Mouse Wireless Apple,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 739; Carpeta Rentman: Hardware/Mouses; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0; Nota Rentman: A1657,,,
Plate Nebtek,R-740,ACC,,,,Good,1,owned,,,1000569,Plate Nebtek,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 740; Carpeta Rentman: Accesorios/Plates; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Plate Dolgin,R-741,ACC,,,,Good,1,owned,,,1000570,Plate Dolgin,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 741; Carpeta Rentman: Accesorios/Plates; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Adaptador Disco Duro 2.5-3"" Orico",R-742,ACC,,,,Good,2,owned,,,1000571,"Adaptador Disco Duro 2.5-3"" Orico",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 742; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Foco,R-743,ACC,,,,Good,2,owned,,,1000572,Foco,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 743; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Puerto Load Balance Broadband TP-Link,R-748,NEC,,,,Good,2,owned,,,1000577,Puerto Load Balance Broadband TP-Link,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 748; Carpeta Rentman: Accesorios/Accesorios Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Marco Monitor Pequeño,R-749,MON,,,,Good,1,owned,,,1000578,Marco Monitor Pequeño,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 749; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Drive LTO 7 HP Ultrium 15000,R-750,ACC,,,HUJ925C0U2,Good,1,owned,,,1000579,Tape Drive LTO 7 HP Ultrium 15000,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 750; Carpeta Rentman: Archiving/LTO; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Color Panel Tangent Element Bt,R-754,SIG,,,39043752,Good,1,owned,,COLOR LAB,1000583,Color Panel Tangent Element Bt,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 754; Carpeta Rentman: Consola/Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: part of a bundle,,,
Color Panel Tangent Element Mf,R-755,SIG,,,40023470,Good,1,owned,,COLOR LAB,1000585,Color Panel Tangent Element Mf,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 755; Carpeta Rentman: Consola/Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: part of a bundle,,,
Color Panel Tangent Element Tk,R-756,SIG,,,40014362,Good,1,owned,,COLOR LAB,1000587,Color Panel Tangent Element Tk,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 756; Carpeta Rentman: Consola/Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: part of a bundle,,,
Color Panel Tangent Element Kb,R-757,SIG,,,39033513,Good,1,owned,,COLOR LAB,1000589,Color Panel Tangent Element Kb,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 757; Carpeta Rentman: Consola/Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: part of a bundle,,,
Monitor Apple Thunderbolt Display,R-758,MON,,,,Good,2,owned,,,1000592,Monitor Apple Thunderbolt Display,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 758; Carpeta Rentman: Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Apple Numeric (Negro),R-759,HD,,,F0T1075018KHTCYAF,Good,4,owned,,,1000593,Teclado Apple Numeric (Negro),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 759; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Apple Numeric (Negro),R-759-2,HD,,,F0T105501DYHTCYAT,Good,4,owned,,,1000593,Teclado Apple Numeric (Negro),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 759; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Apple Numeric (Negro),R-759-3,HD,,,F0T0306000JHTCYAT,Good,4,owned,,,1000593,Teclado Apple Numeric (Negro),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 759; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Apple Numeric (Negro),R-759-4,HD,,,F0T107200SRHTCYAT,Good,4,owned,,,1000593,Teclado Apple Numeric (Negro),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 759; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mouse AV,R-760,HD,,,,Good,3,owned,,,1000594,Mouse AV,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 760; Carpeta Rentman: Hardware/Mouses; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mouse Polaroid,R-761,HD,,,,Good,1,owned,,,1000595,Mouse Polaroid,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 761; Carpeta Rentman: Hardware/Mouses; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Enclosure Sonnet Echo Express III-D Desktop Thunderbolt 2 Expansion,R-762,ACC,,,,Good,1,owned,,STORAGE 01,1000596,Enclosure Sonnet Echo Express III-D Desktop Thunderbolt 2 Expansion,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 762; Carpeta Rentman: Archiving/Enclosure; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
"Televisor LG OLED 55""",R-764,MON,,,,Good,1,owned,,DAILIES LAB,1000598,"Televisor LG OLED 55""",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 764; Carpeta Rentman: Monitores/Televisores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
"Mackie Studio Monitors 3"" B&G (CR3)",R-765,SOUND,,,204442500DBKP0918,Good,1,owned,,,1000599,"Mackie Studio Monitors 3"" B&G (CR3)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 765; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Server Synology RackStation RS1221+ 8-Bay NAS,R-766,ACC,,,2130RWRFCQ2Y7,Good,1,owned,,DAILIES LAB,1000600,Server Synology RackStation RS1221+ 8-Bay NAS,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 766; Carpeta Rentman: Archiving/Server; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Disco Duro Lacie 6TB,R-767,HD,,,,Good,1,owned,,,1000601,Disco Duro Lacie 6TB,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 767; Carpeta Rentman: Archiving/Hardrives; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Proyector JVC D-ILA,R-768,ACC,,,,Good,1,owned,,,1000603,Proyector JVC D-ILA,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 768; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Quemadora de Blu-Ray,R-769,ACC,,,,Good,1,owned,,,1000604,Quemadora de Blu-Ray,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 769; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Televisor Samsung 42""",R-771,MON,,,,Good,1,owned,,COLOR LAB,1000606,"Televisor Samsung 42""",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 771; Carpeta Rentman: Monitores/Televisores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Hub USB 3.0 Anker,R-772,DAC,,,,Good,1,owned,,08 D,1000607,Hub USB 3.0 Anker,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 772; Carpeta Rentman: Accesorios/Accesorios Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Apple Thunderbolt 2 - Thunderbolt 3,R-773,DAC,,,,Good,7,owned,,08 D,1000608,Adaptador Apple Thunderbolt 2 - Thunderbolt 3,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 773; Carpeta Rentman: Accesorios/Accesorios Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Computadora Apple iMac (A) 27"" Late 2014",R-774,HD,,,C02PW161FY14,Good,1,owned,,,1000609,"Computadora Apple iMac (A) 27"" Late 2014",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 774; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 4 GHz Quad-Core Intel Core i7 Memory : 32 GB 1600 MHz DDR3 Graphics : AMS Radeon R9 M295X 4 GB macOS Big Sur,,,
Sandbags,R-775,RIG,,,,Good,1,owned,,,1000611,Sandbags,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 775; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mouse Pad Argom Tech,R-776,ACC,,,,Good,4,owned,,,1000626,Mouse Pad Argom Tech,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 776; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Hub Promise TD-300 Dock Station,R-777,DAC,,,WJ0081000118,Good,1,owned,,08 D,1000627,Hub Promise TD-300 Dock Station,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 777; Carpeta Rentman: Accesorios/Accesorios Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: +power +adaptador,,,
"Computadora Apple Macbook Pro 2021 16"" (E)",R-778,HD,,,C02FRADXMD6R,Good,1,owned,,,1000630,"Computadora Apple Macbook Pro 2021 16"" (E)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 778; Carpeta Rentman: Hardware/Computadoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1; Nota Rentman: Processor : 2.4 GHz 8-Core Intel Core i9 Memory : 32 GB 2667 MHz DDR 4 Graphics : Intel UHD Graphics 630 1536 MB macOS Big Sur,,,
Enclosure OWC 8 Bay Thunderbolt 3,R-780,ACC,,,2978000019,Good,2,owned,,STORAGE 01,1000633,Enclosure OWC 8 Bay Thunderbolt 3,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 780; Carpeta Rentman: Archiving/Enclosure; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Enclosure OWC 8 Bay Thunderbolt 3,R-780-2,ACC,,,2978000906,Good,2,owned,,STORAGE 01,1000633,Enclosure OWC 8 Bay Thunderbolt 3,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 780; Carpeta Rentman: Archiving/Enclosure; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Teclado Powzan Numeric KB770,R-781,HD,,,ABA03KB77US00146,Good,3,owned,,,1000634,Teclado Powzan Numeric KB770,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 781; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Powzan Numeric KB770,R-781-2,HD,,,ABA03KB77US00141,Good,3,owned,,,1000634,Teclado Powzan Numeric KB770,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 781; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Teclado Powzan Numeric KB770,R-781-3,HD,,,ABA03KB77US00151,Good,3,owned,,,1000634,Teclado Powzan Numeric KB770,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 781; Carpeta Rentman: Hardware/Teclados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto Gator Soft Case,R-782,CAS,,,,Good,2,owned,,01 D,1000638,Bulto Gator Soft Case,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 782; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto FSI Flanders Monitor,R-783,CAS,,,,Good,2,owned,,01 B,1000639,Bulto FSI Flanders Monitor,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 783; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Plate Monitor Impact ME-108P,R-784,ACC,,,,Good,2,owned,,,1000640,Plate Monitor Impact ME-108P,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 784; Carpeta Rentman: Accesorios/Plates; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Uni USBC - Network,R-785,NEC,,,,Good,1,owned,,7C,1000641,Adaptador Uni USBC - Network,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 785; Carpeta Rentman: Accesorios/Accesorios Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Smartech SSD- USB 3.0,R-786,READ,,,,Good,3,owned,,7C,1000642,Lector Smartech SSD- USB 3.0,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 786; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Cable Data USB2 - Lightning 9.5""",R-792,DAC,,,,Good,4,owned,,08 E,1000648,"Cable Data USB2 - Lightning 9.5""",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 792; Carpeta Rentman: Cables/Cables Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Sunhood Atomos,R-795,MON,,,,Good,2,owned,,,1000651,Sunhood Atomos,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 795; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Battery Plate Gold Mount Sumo 19""",R-796,MON,,,,Good,2,owned,,,1000652,"Battery Plate Gold Mount Sumo 19""",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 796; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Power AC Sumo 19"" 4 Pins",R-797,POW,,,,Good,4,owned,,,1000653,"Power AC Sumo 19"" 4 Pins",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 797; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Convertidor Video Ultrastudio Mini Recorder Blackmagic,R-799,ACC,,,1929990,Good,1,owned,,,1000655,Convertidor Video Ultrastudio Mini Recorder Blackmagic,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 799; Carpeta Rentman: Capture & Playback; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Estuche Tela Negro (Small),R-801,CAS,,,,Good,5,owned,,,1000657,Estuche Tela Negro (Small),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 801; Carpeta Rentman: Maletas/Cases/Bultos/Estuches; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Regleta Cyber Power,R-806,POW,,,,Good,1,owned,,02 A,1000662,Regleta Cyber Power,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 806; Carpeta Rentman: Power/Regletas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Eléctrico 6 en 1,R-807,POW,,,,Good,1,owned,,,1000663,Adaptador Eléctrico 6 en 1,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 807; Carpeta Rentman: Accesorios/Accesorios Eléctricos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
