name,code,category,brand,model,serial,condition,quantity,ownership,location,warehouse,qr,description,notes,purchasePrice,replacementValue,currentBookValue
Codo BNC Female - Female,R-1098,SIG,,,,Good,18,owned,,,1001045,Codo BNC Female - Female,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1098; Carpeta Rentman: Accesorios/Accesorios Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Rack Color Connector Frames,R-1099,SIG,,,,Good,12,owned,,,1001046,Rack Color Connector Frames,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1099; Carpeta Rentman: Accesorios/Accesorios Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Connector Round Cap,R-1100,SIG,,,,Good,43,owned,,,1001047,Connector Round Cap,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1100; Carpeta Rentman: Accesorios/Accesorios Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Rack Connector XLR Male,R-1101,SOUND,,,,Good,2,owned,,,1001048,Rack Connector XLR Male,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1101; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Rack Connector XLR Female,R-1102,SOUND,,,,Good,2,owned,,,1001049,Rack Connector XLR Female,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1102; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Full Case AJA Splitter HDTV 02,R-1103,CAS,,,AJASPLTC02,Good,1,owned,,06 B,1001051,Full Case AJA Splitter HDTV 02,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1103; Carpeta Rentman: Full Cases/Kits; Tipo carpeta Rentman: Equipos; Tipo item Rentman: case; Tiene accesorios Rentman: 0,,,
Power AC AJA D-Tap,R-1104,POW,,,,Good,2,owned,,,1001053,Power AC AJA D-Tap,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1104; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Data Thunderbolt 2 3ft,R-1105,DAC,,,,Good,12,owned,,08 E,1001054,Cable Data Thunderbolt 2 3ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1105; Carpeta Rentman: Cables/Cables Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Case Pelican 1300 (Black),R-1106,CAS,,,,Good,3,owned,,,1001056,Case Pelican 1300 (Black),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1106; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Power AC Switch TP-Link 8Port,R-1107,POW,,,,Good,1,owned,,,1001057,Power AC Switch TP-Link 8Port,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1107; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable AC BM Smart VideoHub 12x12,R-1108,POW,,,,Good,1,owned,,,1001059,Cable AC BM Smart VideoHub 12x12,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1108; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Power AC 2-Pin AJA HD/SD Sync Gen,R-1109,ACC,,,,Good,1,owned,,,1001060,Power AC 2-Pin AJA HD/SD Sync Gen,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1109; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Video DisplayPort - Thunderbolt 2 6ft,R-1110,SIG,,,,Good,1,owned,,08 D,1001061,Cable Video DisplayPort - Thunderbolt 2 6ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1110; Carpeta Rentman: Cables/Cables Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio XLR Fe/Ma 3ft,R-1111,ACC,,,,Good,1,owned,,,1001062,Cable Audio XLR Fe/Ma 3ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1111; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Carro ProAim Victor Medium,R-1112,CAR,,,,Good,1,owned,,,1001063,Carro ProAim Victor Medium,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1112; Carpeta Rentman: Movilidad/Carros; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable AC Batería Watson Dual,R-1113,ACC,,,,Good,2,owned,,,1001064,Cable AC Batería Watson Dual,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1113; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Power AC Router Maxell Rabbit,R-1114,POW,,,,Good,1,owned,,,1001065,Power AC Router Maxell Rabbit,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1114; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Power AC Serv Pro D-Tap 2-Pin Lemo,R-1115,ACC,,,,Good,2,owned,,,1001066,Power AC Serv Pro D-Tap 2-Pin Lemo,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1115; Carpeta Rentman: Wireless Systems; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
UPS CyberPower 1000,R-1116,POW,,,,Good,1,owned,,,1001067,UPS CyberPower 1000,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1116; Carpeta Rentman: Power/UPS; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
